0,"Marrus orthocanna","adult","Temperature in situ","min",0,"Andersen1981_Morthocanna"
1,"Marrus orthocanna","adult","Temperature in situ","max",0.4,"Andersen1981_Morthocanna"
2,"Marrus orthocanna","adult","Depth (m)","point",50,"Andersen1981_Morthocanna"
3,"Marrus orthocanna","adult","Depth (m)","point",40,"Andersen1981_Morthocanna"
4,"Marrus orthocanna","adult","Depth (m)","point",50,"Andersen1981_Morthocanna"
5,"Marrus orthocanna","adult","Depth (m)","point",60,"Andersen1981_Morthocanna"
6,"Marrus orthocanna","adult","Colony length (cm)","point",45,"Andersen1981_Morthocanna"
7,"Marrus orthocanna","adult","Temperature in situ","min",-1.77,"Andersen1981_Morthocanna"
8,"Marrus orthocanna","adult","Temperature in situ","max",-1.75,"Andersen1981_Morthocanna"
9,"Marrus orthocanna","adult","Salinity in situ (PSU)","min",32.5,"Andersen1981_Morthocanna"
10,"Marrus orthocanna","adult","Salinity in situ (PSU)","max",32.7,"Andersen1981_Morthocanna"
11,"Marrus orthocanna","adult","Tentacle number","min",30,"Andersen1981_Morthocanna"
12,"Marrus orthocanna","adult","Gastrozooid length (fixed) (mm)","max",9.5,"Andersen1981_Morthocanna"
13,"Marrus orthocanna","adult","Tentacle width (um)","min",150,"Andersen1981_Morthocanna"
14,"Marrus orthocanna","adult","Tentacle width (um)","max",200,"Andersen1981_Morthocanna"
15,"Marrus orthocanna","adult","Cnidoband length (um)","mean",1000,"Andersen1981_Morthocanna"
16,"Marrus orthocanna","adult","Cnidoband width (um)","point",100,"Andersen1981_Morthocanna"
17,"Marrus orthocanna","adult","Cnidoband depth (um)","point",100,"Andersen1981_Morthocanna"
18,"Marrus orthocanna","adult","Pedicle width (um)","point",75,"Andersen1981_Morthocanna"
19,"Physalia physalis","adult","Depth (m)","mean",0,"Bardi2007_Physalia"
20,"Physalia physalis","adult","Depth (m)","sd",0,"Bardi2007_Physalia"
21,"Physalia physalis","adult","Haploneme length (um)","point",41.4,"Bardi2007_Physalia"
22,"Physalia physalis","adult","Haploneme width (um)","point",35,"Bardi2007_Physalia"
23,"Physalia physalis","adult","Haploneme length (um)","point",12.6,"Bardi2007_Physalia"
24,"Physalia physalis","adult","Haploneme width (um)","point",10.5,"Bardi2007_Physalia"
25,"Physalia physalis","adult","Heteroneme length (um)","point",23,"Bardi2007_Physalia"
26,"Physalia physalis","adult","Heteroneme width (um)","point",19.2,"Bardi2007_Physalia"
27,"Physalia physalis","adult","Haploneme length (um)","max",47.77,"Bardi2007_Physalia"
28,"Physalia physalis","adult","Haploneme length (um)","min",17.54,"Bardi2007_Physalia"
29,"Physalia physalis","adult","Haploneme width (um)","max",45.16,"Bardi2007_Physalia"
30,"Physalia physalis","adult","Haploneme width (um)","min",17.68,"Bardi2007_Physalia"
31,"Physalia physalis","adult","Haploneme length (um)","max",14.39,"Bardi2007_Physalia"
32,"Physalia physalis","adult","Haploneme length (um)","min",7.95,"Bardi2007_Physalia"
33,"Physalia physalis","adult","Haploneme width (um)","max",14.92,"Bardi2007_Physalia"
34,"Physalia physalis","adult","Haploneme width (um)","min",8.46,"Bardi2007_Physalia"
35,"Physalia physalis","adult","Heteroneme length (um)","max",24.69,"Bardi2007_Physalia"
36,"Physalia physalis","adult","Heteroneme length (um)","min",11.69,"Bardi2007_Physalia"
37,"Physalia physalis","adult","Heteroneme width (um)","max",25.45,"Bardi2007_Physalia"
38,"Physalia physalis","adult","Heteroneme width (um)","min",11.17,"Bardi2007_Physalia"
39,"Physalia physalis","adult","Gastrozooid length (fixed) (mm)","max",1.3,"Bardi2007_Physalia"
40,"Physalia physalis","adult","Gastrozooid length (fixed) (mm)","min",0.7,"Bardi2007_Physalia"
41,"Physalia physalis","adult","Gastrozooid width (fixed) (mm)","max",3.375,"Bardi2007_Physalia"
42,"Physalia physalis","adult","Gastrozooid width (fixed) (mm)","min",0.25,"Bardi2007_Physalia"
43,"Physalia physalis","adult","Haploneme length (um)","point",32.15,"Bardi2007_Physalia"
44,"Physalia physalis","adult","Haploneme length (um)","point",27.12,"Bardi2007_Physalia"
45,"Physalia physalis","adult","Haploneme width (um)","point",31.54,"Bardi2007_Physalia"
46,"Physalia physalis","adult","Haploneme width (um)","point",31.16,"Bardi2007_Physalia"
47,"Physalia physalis","adult","Haploneme length (um)","point",19.54,"Bardi2007_Physalia"
48,"Physalia physalis","adult","Haploneme length (um)","point",23.05,"Bardi2007_Physalia"
49,"Physalia physalis","adult","Haploneme width (um)","point",19.9,"Bardi2007_Physalia"
50,"Physalia physalis","adult","Haploneme width (um)","point",21.14,"Bardi2007_Physalia"
51,"Physalia physalis","adult","Haploneme length (um)","point",9.41,"Bardi2007_Physalia"
52,"Physalia physalis","adult","Haploneme length (um)","point",12.26,"Bardi2007_Physalia"
53,"Physalia physalis","adult","Haploneme width (um)","point",9.83,"Bardi2007_Physalia"
54,"Physalia physalis","adult","Haploneme width (um)","point",11.54,"Bardi2007_Physalia"
55,"Nanomia cara","adult","Tentacle length (mm)","point",5400,"Biggs1977b_Feeding"
56,"Physalia physalis","adult","Tentacle length (mm)","point",6000,"Biggs1977b_Feeding"
57,"Chelophyes appendiculata","adult","Fishing cycle frequency (times/hour)","point",100,"Biggs1977b_Feeding"
58,"Agalma okeni","adult","Tentacle number","point",5,"Biggs1977b_Feeding"
59,"Agalma okeni","adult","Tentacle number","min",1,"Biggs1977b_Feeding"
60,"Agalma okeni","adult","Tentacle number","max",6,"Biggs1977b_Feeding"
61,"Agalma okeni","adult","Tentacle spacing (mm)","min",1,"Biggs1977b_Feeding"
62,"Agalma okeni","adult","Tentacle spacing (mm)","max",4,"Biggs1977b_Feeding"
63,"Agalma okeni","adult","Tentilla per tentacle","min",20,"Biggs1977b_Feeding"
64,"Agalma okeni","adult","Tentilla per tentacle","max",50,"Biggs1977b_Feeding"
65,"Agalma okeni","adult","Tentilla spacing (mm)","min",3,"Biggs1977b_Feeding"
66,"Agalma okeni","adult","Tentilla spacing (mm)","max",10,"Biggs1977b_Feeding"
67,"Agalma elegans","adult","Tentacle number","min",3,"Biggs1977b_Feeding"
68,"Agalma elegans","adult","Tentacle number","max",17,"Biggs1977b_Feeding"
69,"Agalma elegans","adult","Tentacle spacing (mm)","min",6,"Biggs1977b_Feeding"
70,"Agalma elegans","adult","Tentacle spacing (mm)","max",30,"Biggs1977b_Feeding"
71,"Agalma elegans","adult","Tentilla per tentacle","min",20,"Biggs1977b_Feeding"
72,"Agalma elegans","adult","Tentilla per tentacle","max",30,"Biggs1977b_Feeding"
73,"Agalma elegans","adult","Tentilla spacing (mm)","min",3,"Biggs1977b_Feeding"
74,"Agalma elegans","adult","Tentilla spacing (mm)","max",10,"Biggs1977b_Feeding"
75,"Agalma okeni","adult","Tentilla per tentacle","mean",32,"Biggs1977b_Feeding"
76,"Agalma okeni","adult","Tentacle length (mm)","mean",320,"Biggs1977b_Feeding"
77,"Stephanophyes superba","adult","Tentacle number","min",10,"Biggs1977b_Feeding"
78,"Stephanophyes superba","adult","Tentacle number","max",28,"Biggs1977b_Feeding"
79,"Stephanophyes superba","adult","Tentacle spacing (mm)","min",3,"Biggs1977b_Feeding"
80,"Stephanophyes superba","adult","Tentacle spacing (mm)","max",15,"Biggs1977b_Feeding"
81,"Stephanophyes superba","adult","Tentilla per tentacle","min",9,"Biggs1977b_Feeding"
82,"Stephanophyes superba","adult","Tentilla per tentacle","max",15,"Biggs1977b_Feeding"
83,"Stephanophyes superba","adult","Tentilla spacing (mm)","min",7,"Biggs1977b_Feeding"
84,"Stephanophyes superba","adult","Tentilla spacing (mm)","max",19,"Biggs1977b_Feeding"
85,"Rhizophysa filiformis","adult","Tentacle number","min",5,"Biggs1977b_Feeding"
86,"Rhizophysa filiformis","adult","Tentacle number","max",25,"Biggs1977b_Feeding"
87,"Rhizophysa filiformis","adult","Tentacle spacing (mm)","min",50,"Biggs1977b_Feeding"
88,"Rhizophysa filiformis","adult","Tentacle spacing (mm)","max",200,"Biggs1977b_Feeding"
89,"Rhizophysa filiformis","adult","Tentilla per tentacle","min",50,"Biggs1977b_Feeding"
90,"Rhizophysa filiformis","adult","Tentilla per tentacle","max",150,"Biggs1977b_Feeding"
91,"Rhizophysa filiformis","adult","Tentilla spacing (mm)","min",2,"Biggs1977b_Feeding"
92,"Rhizophysa filiformis","adult","Tentilla spacing (mm)","max",7,"Biggs1977b_Feeding"
93,"Rosacea cymbiformis","adult","Tentacle number","min",10,"Biggs1977b_Feeding"
94,"Rosacea cymbiformis","adult","Tentacle number","max",100,"Biggs1977b_Feeding"
95,"Rosacea cymbiformis","adult","Tentacle spacing (mm)","min",7,"Biggs1977b_Feeding"
96,"Rosacea cymbiformis","adult","Tentacle spacing (mm)","max",21,"Biggs1977b_Feeding"
97,"Rosacea cymbiformis","adult","Tentilla per tentacle","min",30,"Biggs1977b_Feeding"
98,"Rosacea cymbiformis","adult","Tentilla per tentacle","max",55,"Biggs1977b_Feeding"
99,"Rosacea cymbiformis","adult","Tentilla spacing (mm)","min",2,"Biggs1977b_Feeding"
100,"Rosacea cymbiformis","adult","Tentilla spacing (mm)","max",5,"Biggs1977b_Feeding"
101,"Stephanophyes superba","adult","Prey length (mm)","point",7,"Biggs1977b_Feeding"
